ano,identificador,quantidade,atividade,idunid,codativ,tec,esp,grad,mest,doc
2007,1,1.5,Artigo em periódico indexado,19,2,0,0,0,0,0
2007,2,1,Organização de eventos,17,15,0,0,0,1,0
2007,2,1,Matéria jornalística,17,12,0,0,0,1,0
2007,2,1.5,Artigo em periódico indexado,17,2,0,0,0,1,0
2007,2,10,Palestra,17,18,0,0,0,1,0
2007,3,3,Artigo em periódico indexado,6,2,0,0,0,0,1
2007,3,7,Participação em exposições e feiras,6,19,0,0,0,0,1
2007,3,4,Resumo em anais de congresso,6,22,0,0,0,0,1
2007,3,1,Comunicado técnico/Recomendações técnicas,6,6,0,0,0,0,1
2008,3,5,Resumo em anais de congresso,6,22,0,0,0,0,1
2008,3,6,Participação em exposições e feiras,6,19,0,0,0,0,1
2008,3,3,Artigo em periódico indexado,6,2,0,0,0,0,1
2009,3,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2009,3,1,Matéria jornalística,6,12,0,0,0,0,1
2009,3,2,Resumo em anais de congresso,6,22,0,0,0,0,1
2009,3,16,Participação em exposições e feiras,6,19,0,0,0,0,1
2009,3,3,Artigo em periódico indexado,6,2,0,0,0,0,1
2010,3,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2010,3,1,Matéria jornalística,6,12,0,0,0,0,1
2010,3,1,Organização de eventos,6,15,0,0,0,0,1
2010,3,3,Resumo em anais de congresso,6,22,0,0,0,0,1
2010,3,5,Participação em exposições e feiras,6,19,0,0,0,0,1
2011,3,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2011,3,3,Artigo em periódico indexado,6,2,0,0,0,0,1
2011,3,.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2011,3,1,Comunicado técnico/Recomendações técnicas,6,6,0,0,0,0,1
2011,3,1,Organização/Edição de livros,6,16,0,0,0,0,1
2012,3,2,Resumo em anais de congresso,6,22,0,0,0,0,1
2013,3,1,Artigo em anais de congresso,6,1,0,0,0,0,1
2013,3,9,Participação em exposições e feiras,6,19,0,0,0,0,1
2013,3,1,Organização de eventos,6,15,0,0,0,0,1
2013,3,4.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2014,3,1,Organização de eventos,6,15,0,0,0,0,1
2014,3,4.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2014,3,5,Participação em exposições e feiras,6,19,0,0,0,0,1
2015,3,1,Resumo em anais de congresso,6,22,0,0,0,0,1
2015,3,1,Matéria jornalística,6,12,0,0,0,0,1
2015,3,1.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2016,3,1.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2017,3,3,Artigo em periódico indexado,6,2,0,0,0,0,1
2007,4,1,Artigo em periódico indexado,6,2,0,0,0,0,1
2007,4,3,Resumo em anais de congresso,6,22,0,0,0,0,1
2007,4,7,Participação em exposições e feiras,6,19,0,0,0,0,1
2007,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2008,4,22,Cultivar gerada/lançada,6,7,0,0,0,0,1
2008,4,1,Matéria jornalística,6,12,0,0,0,0,1
2008,4,10,Cultivar gerada/lançada,6,7,0,0,0,0,1
2008,4,1,Circular técnica,6,5,0,0,0,0,1
2008,4,4,Cultivar gerada/lançada,6,7,0,0,0,0,1
2008,4,2,Resumo em anais de congresso,6,22,0,0,0,0,1
2008,4,4,Participação em exposições e feiras,6,19,0,0,0,0,1
2008,4,6,Resumo em anais de congresso,6,22,0,0,0,0,1
2008,4,2,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2008,4,9,Circular técnica,6,5,0,0,0,0,1
2009,4,1,Matéria jornalística,6,12,0,0,0,0,1
2009,4,5,Resumo em anais de congresso,6,22,0,0,0,0,1
2009,4,4.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2009,4,3,Circular técnica,6,5,0,0,0,0,1
2009,4,6,Artigo em anais de congresso,6,1,0,0,0,0,1
2010,4,8,Resumo em anais de congresso,6,22,0,0,0,0,1
2010,4,2,Circular técnica,6,5,0,0,0,0,1
2010,4,1,Resumo em anais de congresso,6,22,0,0,0,0,1
2010,4,20,Curso oferecido,6,8,0,0,0,0,1
2010,4,16.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2010,4,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2010,4,8,Participação em exposições e feiras,6,19,0,0,0,0,1
2011,4,6,Resumo em anais de congresso,6,22,0,0,0,0,1
2011,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2011,4,8,Resumo em anais de congresso,6,22,0,0,0,0,1
2011,4,1,Circular técnica,6,5,0,0,0,0,1
2011,4,13.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2011,4,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2012,4,4,Participação em exposições e feiras,6,19,0,0,0,0,1
2012,4,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2012,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2012,4,7,Matéria jornalística,6,12,0,0,0,0,1
2012,4,18,Artigo em periódico indexado,6,2,0,0,0,0,1
2012,4,3,Resumo em anais de congresso,6,22,0,0,0,0,1
2012,4,3,Resumo em anais de congresso,6,22,0,0,0,0,1
2012,4,4,Cultivar gerada/lançada,6,7,0,0,0,0,1
2012,4,7,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2012,4,1,Circular técnica,6,5,0,0,0,0,1
2012,4,1,Cultivar gerada/lançada,6,7,0,0,0,0,1
2013,4,1,Orientação de dissertação ou tese de pós-graduação,6,17,0,0,0,0,1
2013,4,3,Resumo em anais de congresso,6,22,0,0,0,0,1
2013,4,2,Resumo em anais de congresso,6,22,0,0,0,0,1
2013,4,4.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2014,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2014,4,25.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2014,4,2,Circular técnica,6,5,0,0,0,0,1
2014,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2014,4,4,Resumo em anais de congresso,6,22,0,0,0,0,1
2015,4,5,Circular técnica,6,5,0,0,0,0,1
2015,4,13.5,Artigo em periódico indexado,6,2,0,0,0,0,1
2016,4,12,Artigo em periódico indexado,6,2,0,0,0,0,1
2016,4,1,Artigo em anais de congresso,6,1,0,0,0,0,1
2017,4,6.75,Artigo em periódico indexado,6,2,0,0,0,0,1
2017,4,1,Resumo em anais de congresso,6,22,0,0,0,0,1
2018,4,9,Artigo em periódico indexado,6,2,0,0,0,0,1
2018,4,1,Capítulo em livro técnico-científico,6,4,0,0,0,0,1
2007,5,20,Curso oferecido,19,8,0,0,0,0,1
2007,5,3,Resumo em anais de congresso,19,22,0,0,0,0,1
2007,5,2,Organização de eventos,19,15,0,0,0,0,1
2007,5,1.5,Artigo em periódico indexado,19,2,0,0,0,0,1
2007,5,3,Participação em exposições e feiras,19,19,0,0,0,0,1
2008,5,1,Matéria jornalística,19,12,0,0,0,0,1
2008,5,1,Resumo em anais de congresso,19,22,0,0,0,0,1
2008,5,1,Capítulo em livro técnico-científico,19,4,0,0,0,0,1
2008,5,2,Resumo em anais de congresso,19,22,0,0,0,0,1
2008,5,2,Organização de eventos,19,15,0,0,0,0,1
2008,5,3,Participação em exposições e feiras,19,19,0,0,0,0,1
2008,5,30,Curso oferecido,19,8,0,0,0,0,1
2008,5,1.5,Artigo em periódico indexado,19,2,0,0,0,0,1
2008,5,2,Matéria jornalística,19,12,0,0,0,0,1
2008,5,1,Artigo em anais de congresso,19,1,0,0,0,0,1
2009,5,1,Organização de eventos,19,15,0,0,0,0,1
2009,5,4,Participação em exposições e feiras,19,19,0,0,0,0,1
2009,5,1,Matéria jornalística,19,12,0,0,0,0,1
2009,5,1,Matéria jornalística,19,12,0,0,0,0,1
2010,5,5,Organização de eventos,19,15,0,0,0,0,1
2010,5,3,Participação em exposições e feiras,19,19,0,0,0,0,1
2010,5,1,Capítulo em livro técnico-científico,19,4,0,0,0,0,1
2011,5,8,Participação em exposições e feiras,19,19,0,0,0,0,1
2011,5,4,Organização de eventos,19,15,0,0,0,0,1
2011,5,3,Matéria jornalística,19,12,0,0,0,0,1
2012,5,6,Matéria jornalística,19,12,0,0,0,0,1
2012,5,1,Organização/Edição de livros,19,16,0,0,0,0,1
2012,5,6,Matéria jornalística,19,12,0,0,0,0,1
2012,5,3,Participação em exposições e feiras,19,19,0,0,0,0,1
2012,5,2,Organização de eventos,19,15,0,0,0,0,1
2012,5,1,Organização/Edição de livros,19,16,0,0,0,0,1
2013,5,1,Folder/folheto/cartilha produzidos,19,11,0,0,0,0,1
2013,5,.5,Artigo em periódico indexado,19,2,0,0,0,0,1
2013,5,1,Organização de eventos,19,15,0,0,0,0,1
2014,5,3,Documentos,19,10,0,0,0,0,1
2014,5,2,Resumo em anais de congresso,19,22,0,0,0,0,1
2015,5,4.5,Artigo em periódico indexado,19,2,0,0,0,0,1
2015,5,1,Vídeo/DVD produzidos,19,23,0,0,0,0,1
2015,5,2,Resumo em anais de congresso,19,22,0,0,0,0,1
2015,5,1,Documentos,19,10,0,0,0,0,1
2016,5,1,Organização/Edição de livros,19,16,0,0,0,0,1
2007,6,40,Curso oferecido,19,8,0,0,1,0,0
2007,6,5,Organização de eventos,19,15,0,0,1,0,0
2007,6,1,Boletim de pesquisa e desenvolvimento,19,3,0,0,1,0,0
2007,6,3,Participação em exposições e feiras,19,19,0,0,1,0,0
2008,6,7,Participação em exposições e feiras,19,19,0,0,1,0,0
2009,6,1,Organização de eventos,19,15,0,0,1,0,0
2009,6,2,Participação em exposições e feiras,19,19,0,0,1,0,0
2010,6,10,Participação em exposições e feiras,19,19,0,0,1,0,0
2011,6,8,Participação em exposições e feiras,19,19,0,0,1,0,0
2012,6,2,Capítulo em livro técnico-científico,19,4,0,0,1,0,0
2007,7,2,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2007,7,3,Artigo em periódico indexado,2,2,0,0,0,0,1
2008,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2008,7,18,Artigo em periódico indexado,2,2,0,0,0,0,1
2008,7,8,Resumo em anais de congresso,2,22,0,0,0,0,1
2008,7,3,Artigo em anais de congresso,2,1,0,0,0,0,1
2009,7,9,Artigo em periódico indexado,2,2,0,0,0,0,1
2009,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2010,7,21.75,Artigo em periódico indexado,2,2,0,0,0,0,1
2011,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2011,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2011,7,14.5,Artigo em periódico indexado,2,2,0,0,0,0,1
2012,7,9,Artigo em periódico indexado,2,2,0,0,0,0,1
2012,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2013,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2014,7,3,Artigo em periódico indexado,2,2,0,0,0,0,1
2015,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2015,7,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2015,7,9,Artigo em periódico indexado,2,2,0,0,0,0,1
2016,7,1,Matéria jornalística,2,12,0,0,0,0,1
2016,7,4.5,Artigo em periódico indexado,2,2,0,0,0,0,1
2016,7,2,Cultivar gerada/lançada,2,7,0,0,0,0,1
2017,7,3,Artigo em periódico indexado,2,2,0,0,0,0,1
2017,7,2,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2015,8,4,Participação em exposições e feiras,2,19,0,1,0,0,0
2015,8,1,Resumo em anais de congresso,2,22,0,1,0,0,0
2015,8,40,Curso oferecido,2,8,0,1,0,0,0
2016,8,1,Organização de eventos,2,15,0,1,0,0,0
2017,8,1,Resumo em anais de congresso,2,22,0,1,0,0,0
2017,8,2,Organização de eventos,2,15,0,1,0,0,0
2018,8,3,Artigo em periódico indexado,2,2,0,1,0,0,0
2018,8,3,Artigo em periódico indexado,2,2,0,1,0,0,0
2007,9,2,Matéria jornalística,2,12,0,0,0,0,1
2007,9,6,Artigo em periódico indexado,2,2,0,0,0,0,1
2007,9,3,Resumo em anais de congresso,2,22,0,0,0,0,1
2007,9,3,Resumo em anais de congresso,2,22,0,0,0,0,1
2007,9,3,Participação em exposições e feiras,2,19,0,0,0,0,1
2008,9,5,Participação em exposições e feiras,2,19,0,0,0,0,1
2008,9,6,Resumo em anais de congresso,2,22,0,0,0,0,1
2008,9,9,Artigo em periódico indexado,2,2,0,0,0,0,1
2008,9,10,Curso oferecido,2,8,0,0,0,0,1
2008,9,2,Resumo em anais de congresso,2,22,0,0,0,0,1
2008,9,2,Artigo em anais de congresso,2,1,0,0,0,0,1
2009,9,1,Resumo em anais de congresso,2,22,0,0,0,0,1
2009,9,3,Resumo em anais de congresso,2,22,0,0,0,0,1
2009,9,7.5,Artigo em periódico indexado,2,2,0,0,0,0,1
2009,9,10,Curso oferecido,2,8,0,0,0,0,1
2010,9,10,Curso oferecido,2,8,0,0,0,0,1
2010,9,1,Orientação de dissertação ou tese de pós-graduação,2,17,0,0,0,0,1
2010,9,3,Participação em exposições e feiras,2,19,0,0,0,0,1
2010,9,2,Resumo em anais de congresso,2,22,0,0,0,0,1
2010,9,16.5,Artigo em periódico indexado,2,2,0,0,0,0,1
2011,9,2,Artigo em anais de congresso,2,1,0,0,0,0,1
2011,9,2,Participação em exposições e feiras,2,19,0,0,0,0,1
2011,9,1,Resumo em anais de congresso,2,22,0,0,0,0,1
2011,9,12.75,Artigo em periódico indexado,2,2,0,0,0,0,1
2011,9,1,Resumo em anais de congresso,2,22,0,0,0,0,1
2012,9,3,Artigo em anais de congresso,2,1,0,0,0,0,1
